Name,Organization,Provider Type,Facility Type,Address,Suburb,Postcode,Phone,Website,group_services_standardized,individual_services_standardized,associated_services_standardized,Verification Notes (as of Oct 2025),City_Sheet,State,latitude,longitude,geocode_accuracy,geocode_source,geocode_display_name
Bridgestone Australia Blood Cancer Centre,Leukaemia Foundation,NGO/Charity,Accommodation Centre,39 Folland Avenue,Northfield,5085,1800 620 420,https://www.leukaemia.org.au/,support_group,none,accommodation_assistance,Verified. The Leukaemia Foundation's purpose-built accommodation for regional blood cancer patients.,Adelaid_clean,SA,-34.8582655,138.6267381,high,Nominatim,"Folland Avenue, Northfield, Adelaide, City of Port Adelaide Enfield, South Australia, 5085, Australia"
CanTeen SA,CanTeen,NGO/Charity,Youth Support,Adelaide,Adelaide,5000,1800 835 932,https://www.canteen.org.au/,support_group; exercise,counselling; online_support,parent_support; sibling_support,"Verified. CanTeen's community-based peer support service, distinct from the hospital-based clinical service.",Adelaid_clean,SA,-34.9281805,138.5999312,high,Nominatim,"Adelaide, Adelaide City Council, South Australia, Australia"
Camp Quality SA,Camp Quality,NGO/Charity,Family Support,Adelaide,Adelaide,5000,1300 662 267,https://www.campquality.org.au/,support_group,counselling; in_hospital_support,family_camps; education_support,"Verified. A major charity providing fun, respite, and support for children with cancer.",Adelaid_clean,SA,-34.9281805,138.5999312,high,Nominatim,"Adelaide, Adelaide City Council, South Australia, Australia"
Redkite SA,Redkite,NGO/Charity,Family Support,National service,Adelaide,5000,1800 733 548,https://www.redkite.org.au/,support_group,counselling; social_work; music_therapy,financial_assistance; education_support,Verified. A key charity providing essential financial and practical support to families of children with cancer.,Adelaid_clean,SA,,,failed,,
Under Our Roof Accommodation,Hospital Research Foundation Group,NGO/Charity,Accommodation,Woodville West & Bowden,Adelaide,5000,08 8244 1100,https://hospitalresearch.org.au/,none,none,accommodation_assistance,Verified. An excellent accommodation service providing entire homes for regional families.,Adelaid_clean,SA,,,failed,,
UniSA Psychology Clinic,University of South Australia,University,Training Clinic,Cnr St Bernards Rd & Brougham St,Magill,5072,08 8302 4844,https://unisa.edu.au/,support_group,psychology; counselling,low_cost_service,Verified. A low-cost teaching clinic providing therapy services to the public. Contact for fees and wait times.,Adelaid_clean,SA,,,failed,,
Flinders University Psychology Clinic,Flinders University,University,Training Clinic,Social Sciences North Building,Bedford Park,5042,08 8201 3793,https://www.flinders.edu.au/,support_group,psychology; counselling,low_cost_service,Verified. A low-cost teaching clinic providing therapy services to the public. Contact for fees and wait times.,Adelaid_clean,SA,,,failed,,
Adelaide Breast Cancer Friendship Group,Support Group,Peer Support,Community Group,Adelaide metropolitan,Adelaide,5000,Via Cancer Council,Contact for details,support_group,peer_support,none,Verified community group. Meeting times and locations are volatile and must be confirmed via Cancer Council SA.,Adelaid_clean,SA,-34.9287426,138.6047416,high,Nominatim,"Adelaide Metropolitan Fire Service, 99, Wakefield Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Look Good Feel Better SA,Look Good Feel Better,NGO/Charity,Appearance Support,Multiple locations,Adelaide,5000,1800 650 960,https://lgfb.org.au/,education,wig_service; confidence_coaching,online_resources,Verified. National program with workshops at various Adelaide locations. Central booking required.,Adelaid_clean,SA,,,failed,,
SAHMRI Cancer Research,SAHMRI,Research Institute,Research Facility,North Terrace,Adelaide,5000,08 8128 4000,https://www.sahmri.org/,education,clinical_trials,research_participation,"Verified. The South Australian Health and Medical Research Institute, a primary site for cancer clinical trials.",Adelaid_clean,SA,-34.921923,138.5895778,high,Nominatim,"North Terrace, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
Starlight Children's Foundation SA,Starlight Foundation,NGO/Charity,Hospital Support,Women's and Children's Hospital,North Adelaide,5006,1300 727 827,https://starlight.org.au/,none,none,in_hospital_support,Verified. Provides in-hospital entertainment via the Starlight Express Room at the WCH.,Adelaid_clean,SA,,,failed,,
Childhood Cancer Association,CCA,NGO/Charity,Family Support,North Adelaide,Adelaide,5006,08 8239 1444,https://www.childhoodcancer.asn.au/,support_group,counselling,financial_assistance; accommodation_assistance; bereavement_support,Verified. A key local charity providing extensive practical and financial support to SA families.,Adelaid_clean,SA,-34.9085015,138.5953502,high,Nominatim,"North Adelaide, Adelaide, Adelaide City Council, South Australia, 5006, Australia"
McGrath Breast Care Nurse (RAH),McGrath Foundation,NGO/Charity,Nursing Support,Port Road,Adelaide,5000,08 7074 0000,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the RAH oncology team. Access via hospital referral or McGrath Foundation.,Adelaid_clean,SA,-34.9084628,138.5764812,high,Nominatim,"Port Road, Hindmarsh, Adelaide, City of Charles Sturt, South Australia, 5007, Australia"
McGrath Breast Care Nurse (Flinders),McGrath Foundation,NGO/Charity,Nursing Support,Flinders Drive,Bedford Park,5042,08 8204 5511,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the Flinders Medical Centre. Access via hospital referral or McGrath Foundation.,Adelaid_clean,SA,-35.0205836,138.5675958,high,Nominatim,"Flinders Drive, Bedford Park, Adelaide, City of Mitcham, South Australia, 5042, Australia"
McGrath Breast Care Nurse (Lyell McEwin),McGrath Foundation,NGO/Charity,Nursing Support,Haydown Road,Elizabeth Vale,5112,08 8182 9000,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the Lyell McEwin Hospital. Access via hospital referral or McGrath Foundation.,Adelaid_clean,SA,-34.7487661,138.6666728,high,Nominatim,"Haydown Road, Elizabeth Vale, Adelaide, City of Playford, South Australia, 5112, Australia"
Royal Hobart Hospital Cancer Centre,Tasmanian Health Service,Public Hospital,Hospital,Liverpool Street,Hobart,7000,03 6166 6655,https://www.health.tas.gov.au,support_group; education,medical_oncology; radiation_oncology; surgical_oncology; psychology; telehealth,social_work; dietetics,Verified. The primary tertiary cancer treatment centre for Southern Tasmania.,Hobart_clean,TAS,-42.8848063,147.3233299,high,Nominatim,"Liverpool Street, Hobart, City of Hobart, Tasmania, 7000, Australia"
Launceston General Hospital W.P. Holman Clinic,Tasmanian Health Service,Public Hospital,Hospital,274-280 Charles Street,Launceston,7250,03 6777 6777,https://www.health.tas.gov.au,support_group; education,medical_oncology; radiation_oncology; chemotherapy; telehealth,social_work; dietetics,Verified. The primary tertiary cancer treatment facility for Northern Tasmania.,Hobart_clean,TAS,-41.4431963,147.1413389,high,Nominatim,"Charles Street, Launceston, City of Launceston, Tasmania, 7250, Australia"
North West Cancer Centre,Tasmanian Health Service,Public Hospital,Hospital,Brickport Road,Burnie,7320,03 6493 6000,https://www.health.tas.gov.au,support_group,medical_oncology; chemotherapy,social_work; dietetics; allied_health,"Verified. The main cancer service for North-West Tasmania, based at the North West Regional Hospital.",Hobart_clean,TAS,-41.0536344,145.883667,high,Nominatim,"Brickport Road, Park Grove, Burnie, City of Burnie, Tasmania, 7320, Australia"
Cancer Council Support Centre (Hobart),Cancer Council Tasmania,NGO/Charity,Support Centre,15 Princes Street,Sandy Bay,7005,03 6169 1900,https://www.cancer.org.au/tas,support_group; exercise; yoga; meditation/mindfulness; qi_gong/tai_chi; art_therapy,counselling; wig_service; complementary_therapies,financial_assistance; legal_assistance; transport_assistance,"Verified. The main support hub for Southern Tasmania, offering a wide range of wellness programs.",Hobart_clean,TAS,-42.8961071,147.3274153,high,Nominatim,"15, Princes Street, Sandy Bay Shopping Area, Sandy Bay, Hobart, City of Hobart, Tasmania, 7005, Australia"
Cancer Council Support Centre (Launceston),Cancer Council Tasmania,NGO/Charity,Support Centre,69-71 Howick Street,South Launceston,7250,03 6779 1100,https://www.cancer.org.au/tas,support_group; exercise,counselling; wig_service; complementary_therapies,financial_assistance; transport_assistance,"Verified. The main support hub for Northern Tasmania, co-located with the Leukaemia Foundation.",Hobart_clean,TAS,-41.4499015,147.1389794,high,Nominatim,"Howick Street, Glen Dhu, South Launceston, Launceston, City of Launceston, Tasmania, 7249, Australia"
Cancer Council Support Centre (Devonport),Cancer Council Tasmania,NGO/Charity,Support Centre,45 Best Street,Devonport,7310,03 6419 4200,https://www.cancer.org.au/tas,support_group,counselling; wig_service,transport_assistance,Verified. The main support hub for the North-West Coast.,Hobart_clean,TAS,-41.1772229,146.35228,high,Nominatim,"Best Street, Devonport, City of Devonport, Tasmania, 7310, Australia"
Transport2Treatment (t2t),Cancer Council Tasmania,NGO/Charity,Transport Service,Statewide service,Tasmania,Various,1300 65 65 85,https://www.cancer.org.au/tas,none,none,transport_assistance,Verified. A crucial statewide volunteer driver service for patients needing transport to treatment.,Hobart_clean,TAS,,,failed,,
J.W. Whittle Palliative Care Unit,Tasmanian Health Service,Public Hospital,Palliative Care Unit,90 Davey Street,Hobart,7000,03 6166 8100,https://www.health.tas.gov.au,support_group,palliative_care; music_therapy; physiotherapy,bereavement_support,Verified. The dedicated inpatient palliative care unit for Southern Tasmania.,Hobart_clean,TAS,-42.8903113,147.3221531,high,Nominatim,"Davey Street, Hobart, City of Hobart, Tasmania, 7000, Australia"
Specialist Palliative Care Service (Statewide),Tasmanian Health Service,Public Health,Community Service,Multiple locations,Tasmania,Various,1800 973 363,https://www.health.tas.gov.au,none,palliative_care; in_home_care,after_hours_support; social_work,"Verified. Provides community-based palliative care with teams in the South, North, and North-West.",Hobart_clean,TAS,,,failed,,
Leukaemia Foundation Hobart,Leukaemia Foundation,NGO/Charity,Support Centre,34 Collins Street,Hobart,7000,1800 620 420,https://www.leukaemia.org.au,support_group; education,counselling,accommodation_assistance; financial_assistance; transport_assistance,Verified. The Southern Tasmanian office for the key support organization for all blood cancers.,Hobart_clean,TAS,-42.8841144,147.3263634,high,Nominatim,"Collins Street, Hobart, City of Hobart, Tasmania, 7000, Australia"
Leukaemia Foundation Launceston,Leukaemia Foundation,NGO/Charity,Support Centre,67-71 Howick Street,Launceston,7250,03 6779 1113,https://www.leukaemia.org.au,support_group; education,counselling,accommodation_assistance; financial_assistance,"Verified. The Northern Tasmanian office, co-located with the Cancer Council.",Hobart_clean,TAS,-41.4499015,147.1389794,high,Nominatim,"Howick Street, Glen Dhu, South Launceston, Launceston, City of Launceston, Tasmania, 7249, Australia"
CanTeen Tasmania,CanTeen Australia,NGO/Charity,Youth Support Service,146 Harrington Street,Hobart,7000,03 6200 5551,https://www.canteen.org.au,support_group; exercise,counselling,education_support; parent_support,Verified. The Tasmanian office for the specialist support service for young people (12-25) affected by cancer.,Hobart_clean,TAS,-42.8832433,147.3231003,high,Nominatim,"Harrington Street, Hobart, City of Hobart, Tasmania, 7000, Australia"
Redkite Tasmania,Redkite,NGO/Charity,Family Support Service,National service,Tasmania,Various,1800 733 548,https://www.redkite.org.au,support_group,counselling; music_therapy; social_work,financial_assistance; bereavement_support,Verified. A national charity providing essential financial and practical support to Tasmanian families.,Hobart_clean,TAS,,,failed,,
Camp Quality Tasmania,Camp Quality,NGO/Charity,Family Support Service,National service,Tasmania,Various,1300 662 267,https://www.campquality.org.au,support_group,counselling,family_camps; respite_care,"Verified. A national charity providing camps, fun days, and respite for Tasmanian children with cancer.",Hobart_clean,TAS,,,failed,,
BCNA Tasmania,Breast Cancer Network Australia,NGO/Charity,Support Network,National organization,Tasmania,Various,1800 500 258,https://www.bcna.org.au,support_group; education,helpline_support,advocacy,"Verified. National support body. Services delivered via helpline, online network, and local peer-led groups.",Hobart_clean,TAS,,,failed,,
Look Good Feel Better Tasmania,Cancer Patients Foundation,NGO/Charity,Appearance Program,Workshop locations vary,Tasmania,Various,1800 650 960,https://lgfb.org.au,education,wig_service; confidence_coaching,online_resources,Verified. National program with workshops at various Tasmanian locations. Central booking required.,Hobart_clean,TAS,,,failed,,
Marillac House Hobart,St Vincent de Paul Society,NGO/Charity,Accommodation,53-55 Davey Street,Hobart,7000,03 6118 2944,https://www.vinnies.org.au,none,none,accommodation_assistance,"Verified. Low-cost accommodation for medical patients and families, located near RHH.",Hobart_clean,TAS,-42.8903113,147.3221531,high,Nominatim,"Davey Street, Hobart, City of Hobart, Tasmania, 7000, Australia"
Marillac House Launceston,St Vincent de Paul Society,NGO/Charity,Accommodation,123-125 Brisbane Street,Launceston,7250,03 6331 8626,https://www.vinnies.org.au,none,none,accommodation_assistance,"Verified. Low-cost accommodation for medical patients and families, located near LGH.",Hobart_clean,TAS,-41.4368297,147.1396846,high,Nominatim,"Brisbane Street, Launceston, City of Launceston, Tasmania, 7250, Australia"
McGrath Breast Care Nurse (South),McGrath Foundation,NGO/Charity,Nursing Support,Royal Hobart Hospital,Hobart,7000,03 6166 8333,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,"Verified. Nurse embedded within RHH, covering Southern Tasmania. Access via hospital or McGrath Foundation.",Hobart_clean,TAS,-42.8796014,147.3298535,high,Nominatim,"Royal Hobart Hospital, 48, Liverpool Street, Hobart, City of Hobart, Tasmania, 7000, Australia"
McGrath Breast Care Nurse (North),McGrath Foundation,NGO/Charity,Nursing Support,Launceston General Hospital,Launceston,7250,03 6777 6777,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,"Verified. Nurse embedded within LGH, covering Northern Tasmania. Access via hospital or McGrath Foundation.",Hobart_clean,TAS,-41.446986,147.1416435,high,Nominatim,"Launceston General Hospital, 280, Charles Street, Launceston, City of Launceston, Tasmania, 7250, Australia"
McGrath Breast Care Nurse (North-West),McGrath Foundation,NGO/Charity,Nursing Support,North West Regional Hospital,Burnie,7320,03 6493 6000,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,"Verified. Nurse embedded at NWRH, covering the North-West Coast. Access via hospital or McGrath Foundation.",Hobart_clean,TAS,-41.0471017,145.88116,high,Nominatim,"North West Regional Hospital, 23, Brickport Road, Cooee, Burnie, City of Burnie, Tasmania, 7320, Australia"
Peter MacCallum Cancer Centre,Peter MacCallum Cancer Institute,Public Hospital,Specialized Cancer Hospital,305 Grattan Street,Melbourne,3004,03 8559 5000,https://www.petermac.org,support_group; education,medical_oncology; radiation_oncology; surgical_oncology,social_work; dietetics; genetic_counselling; psychology; parkville_precinct_collaboration,Verified. Australia's only public hospital solely dedicated to cancer. Part of VCCC.,Melbourne_clean,VIC,-37.7999274,144.9562153,high,Nominatim,"Victorian Comprehensive Cancer Centre, 305, Grattan Street, Parkville, Melbourne, City of Melbourne, Victoria, 3052, Australia"
Victorian Comprehensive Cancer Centre (VCCC),VCCC Alliance,Public-Private Partnership,Comprehensive Cancer Centre,305 Grattan Street,Melbourne,3004,03 8559 5000,https://vcccalliance.org.au,education,clinical_trials,research_programs,Verified. A collaborative partnership of 10 leading Melbourne cancer institutions.,Melbourne_clean,VIC,-37.7999274,144.9562153,high,Nominatim,"Victorian Comprehensive Cancer Centre, 305, Grattan Street, Parkville, Melbourne, City of Melbourne, Victoria, 3052, Australia"
Royal Melbourne Hospital Cancer Services,Melbourne Health,Public Hospital,Hospital,300 Grattan Street,Parkville,3050,03 9342 7000,https://www.thermh.org.au,support_group; education,medical_oncology; surgical_oncology,genetic_counselling; social_work; allied_health; psychology; parkville_precinct_collaboration,Verified. Major tertiary hospital and key partner in the VCCC Alliance.,Melbourne_clean,VIC,-37.7986604,144.9564244,high,Nominatim,"The Royal Melbourne Hospital, 300, Grattan Street, Parkville, Melbourne, City of Melbourne, Victoria, 3052, Australia"
Olivia Newton-John Cancer Wellness & Research Centre,Austin Health,Public Hospital,Wellness & Research Centre,145 Studley Road,Heidelberg,3084,03 9496 5000,https://www.onjcancercentre.org,exercise; meditation/mindfulness; support_group; yoga; music_therapy; art_therapy,oncology_consultation; chemotherapy; radiation_therapy; complementary_therapies; counselling,clinical_trials; music_therapy; art_therapy,Verified. Leading centre for integrative oncology with a strong focus on wellness programs.,Melbourne_clean,VIC,-37.7565612,145.0586566,high,Nominatim,"Austin Hospital, 145, Studley Road, Heidelberg, Melbourne, City of Banyule, Victoria, 3084, Australia"
Alfred Cancer Services,Alfred Health,Public Hospital,Hospital Cancer Centre,55 Commercial Road,Melbourne,3004,03 9076 2000,https://www.alfredhealth.org.au,support_group,medical_oncology; radiation_oncology; surgical_oncology; immunotherapy,palliative_care; social_work; psychology,Verified. Major public provider with specialized expertise in melanoma and lung cancer.,Melbourne_clean,VIC,-37.8461194,144.9827286,high,Nominatim,"Alfred Hospital, 55, Commercial Road, Melbourne, City of Melbourne, Victoria, 3004, Australia"
Monash Cancer Centre,Monash Health,Public Hospital,Cancer Centre,823-865 Centre Road,Bentleigh East,3165,03 9928 8111,https://monashhealth.org,support_group,medical_oncology; radiation_therapy; chemotherapy; surgical_oncology,radiotherapy_partnership; breastscreen; research_programs; psychology,Verified. Key integrated cancer service hub for Melbourne's south-eastern region.,Melbourne_clean,VIC,-37.9209721,145.0639082,high,Nominatim,"Monash Medical Centre Moorabbin, 823-865, Centre Road, Bentleigh East, Melbourne, City of Glen Eira, Victoria, 3165, Australia"
St Vincent's Hospital Cancer Centre,St Vincent's Hospital Melbourne,Public-Catholic,Hospital,41 Victoria Parade,Fitzroy,3065,03 9231 2211,https://www.svhm.org.au,support_group,medical_oncology; surgical_oncology; haematology; palliative_care,research_programs; spiritual_care; social_work; allied_health; psychology,Verified. Part of the VCCC Alliance with a strong research focus.,Melbourne_clean,VIC,-37.8070939,144.9746855,high,Nominatim,"St Vincent's Hospital, 41, Victoria Parade, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia"
Eastern Health Cancer Services,Eastern Health,Public Hospital,Hospital Network,8 Arnold Street,Box Hill,3128,03 9895 3333,https://www.easternhealth.org.au,support_group,medical_oncology; haematology; surgical_services; palliative_care,radiotherapy_partnership; hospital_in_the_home,"Verified. Major public provider for Melbourne's eastern suburbs, based at Box Hill Hospital.",Melbourne_clean,VIC,-37.8138377,145.1185422,high,Nominatim,"8, Arnold Street, Box Hill, Melbourne, City of Whitehorse, Victoria, 3128, Australia"
Peter Mac Box Hill Campus,Peter MacCallum Cancer Centre,Public,Satellite Centre,1 Arnold Street,Box Hill,3128,03 8559 5000,https://www.petermac.org,none,radiation_therapy; radiation_oncology_consultation,multidisciplinary_meetings,Verified. A dedicated radiotherapy satellite centre located at Epworth Eastern.,Melbourne_clean,VIC,-37.8147316,145.119267,high,Nominatim,"Epworth Eastern, 1, Arnold Street, Box Hill, Melbourne, City of Whitehorse, Victoria, 3128, Australia"
Austin Hospital Cancer Services,Austin Health,Public Hospital,Hospital,145 Studley Road,Heidelberg,3084,03 9496 5000,https://www.austin.org.au,support_group,medical_oncology; surgical_oncology; radiation_therapy; haematology,research_programs; genetic_counselling,Verified. Major tertiary hospital that shares its campus with the ONJ Centre.,Melbourne_clean,VIC,-37.7565612,145.0586566,high,Nominatim,"Austin Hospital, 145, Studley Road, Heidelberg, Melbourne, City of Banyule, Victoria, 3084, Australia"
Western Health Cancer Services,Western Health,Public Hospital,Hospital Network,176 Furlong Road,St Albans,3021,03 8345 6666,https://www.westernhealth.org.au,support_group,medical_oncology; chemotherapy; surgical_services; haematology,radiotherapy_partnership; social_work; dietetics; psychology,Verified. Key public provider for Melbourne's growing western corridor.,Melbourne_clean,VIC,-37.7588363,144.8173902,high,Nominatim,"Sunshine Hospital, 176-190, Furlong Road, St Albans, Melbourne, City of Brimbank, Victoria, 3021, Australia"
Cancer Council Victoria,Cancer Council Australia,NGO/Charity,Support Organization,615 St Kilda Road,Melbourne,3004,13 11 20,https://www.cancervic.org.au,support_group; education; exercise; yoga; meditation/mindfulness,counselling; wig_service,financial_assistance; legal_assistance; transport_assistance; accommodation_assistance,Verified. Peak state cancer charity providing extensive practical and emotional support services.,Melbourne_clean,VIC,-37.8521847,144.9820481,high,Nominatim,"Cancer Council Victoria, 615, St Kilda Road, Melbourne, City of Port Phillip, Victoria, 3004, Australia"
Leukaemia Foundation Victoria,Leukaemia Foundation,NGO/Charity,Support Organization,40 Barry Street,Carlton,3053,03 9949 5800,https://www.leukaemia.org.au,support_group; education,counselling,accommodation_assistance; financial_assistance; transport_assistance; bereavement_support,Verified. Key support organization specializing in all blood cancers.,Melbourne_clean,VIC,-37.8031499,144.9600743,high,Nominatim,"34-40, Barry Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia"
CanTeen Victoria,CanTeen Australia,NGO/Charity,Youth Support Service,Level 2/210 Bourke Street,Melbourne,3000,03 9639 0100,https://www.canteen.org.au,support_group; exercise,counselling; online_support,education_support; parent_support,Verified. Specialist support service for young people (12-25) affected by cancer.,Melbourne_clean,VIC,,,failed,,
BCNA (Breast Cancer Network Australia),BCNA,NGO/Charity,Support Network,National organization,Melbourne,Various,1800 500 258,https://www.bcna.org.au,support_group; education,helpline_support,advocacy,"Verified. National support and advocacy body. Services delivered via helpline, online network, and local groups.",Melbourne_clean,VIC,,,failed,,
Look Good Feel Better Victoria,Cancer Patients Foundation,NGO/Charity,Appearance Support,Multiple locations,Melbourne,Various,1800 650 960,https://lgfb.org.au,education,wig_service; confidence_coaching,online_resources,Verified. National program with workshops at various Melbourne locations. Central booking required.,Melbourne_clean,VIC,,,failed,,
Peter Mac Wellbeing Centre,Peter MacCallum Cancer Centre,Public Hospital,Wellness Centre,"Level 1, 305 Grattan Street",Melbourne,3004,03 8559 5000,https://www.petermac.org,meditation/mindfulness; exercise; art_therapy; music_therapy,complementary_therapies; spiritual_care,volunteer_support,Verified. Dedicated wellness space within Peter Mac offering a range of complementary therapies.,Melbourne_clean,VIC,,,failed,,
ONJ Wellness Centre,Austin Health,Public Hospital,Wellness Centre,145 Studley Road,Heidelberg,3084,03 9496 5753,https://www.onjcancercentre.org,meditation/mindfulness; yoga; qi_gong/tai_chi; support_group,acupuncture; oncology_massage; counselling; art_therapy; music_therapy,clinical_trials,Verified. Integrated wellness centre providing evidence-based complementary therapies at the ONJ Centre.,Melbourne_clean,VIC,-37.7565612,145.0586566,high,Nominatim,"Austin Hospital, 145, Studley Road, Heidelberg, Melbourne, City of Banyule, Victoria, 3084, Australia"
BMDI Rotary House,Fight Cancer Foundation,NGO/Charity,Accommodation,4-12 Blackwood Street,North Melbourne,3051,03 9320 7400,https://fightcancer.org.au,support_group,none,accommodation_assistance,"Verified. Purpose-built accommodation for regional patients, located near the Parkville hospitals.",Melbourne_clean,VIC,-37.8019105,144.9547467,high,Nominatim,"4-12, Blackwood Street, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia"
Victorian Adolescent & Young Adult Cancer Service,Peter MacCallum/Youth Cancer Services,Public,Specialized Service,Based at Peter Mac,Melbourne,3004,03 8559 5000,https://www.petermac.org,support_group; exercise,care_coordination; fertility_counselling,education_support; hospital_liaison,"Verified. Statewide specialist service for young people (15-25) with cancer, based at Peter Mac.",Melbourne_clean,VIC,,,failed,,
Palliative Care Victoria,Peak Body,NGO/Charity,Advocacy Organization,Statewide organization,Melbourne,Various,03 9662 9644,https://www.pallcarevic.asn.au,education,information_provision,advance_care_planning; advocacy,"Verified. Peak state body for palliative care; provides education and advocacy, not direct clinical services.",Melbourne_clean,VIC,,,failed,,
