Name,Organization,Provider Type,Facility Type,Address,Suburb,State,Postcode,Councils Served,Eligibility,Services,Hours,Phone,Website
Mona Vale Hospital,Northern Sydney Local Health District,Hospital,Hospital,Coronation Street,Mona Vale,NSW,2103,Northern Beaches,Cancer patients,Cancer services and support,Mon-Fri 8:00am-5:00pm,02 9998 0333,https://www.nslhd.health.nsw.gov.au/
Ryde Hospital,Northern Sydney Local Health District,Hospital,Hospital,Denistone Road,Eastwood,NSW,2122,Ryde,Cancer patients,Cancer services and support,Mon-Fri 8:00am-5:00pm,02 9858 7888,https://www.nslhd.health.nsw.gov.au/
Fairfield Hospital,South Western Sydney Local Health District,Hospital,Hospital,Prairie Vale Road,Prairiewood,NSW,2176,Fairfield,Cancer patients,"Cancer services, McGrath breast care nurse",Mon-Fri 8:30am-5:00pm,02 9616 8111,https://www.swslhd.health.nsw.gov.au/
Gosford Hospital,Central Coast Local Health District,Hospital,Hospital,Holden Street,Gosford,NSW,2250,Central Coast,Cancer patients,"Cancer services, McGrath breast care nurse",Mon-Fri 8:00am-5:00pm,02 4320 2111,https://www.cclhd.health.nsw.gov.au/
Cancer Council NSW - Parramatta,Cancer Council NSW,Charity,Resource Centre,Level 1/2 George Street,Parramatta,NSW,2150,All Sydney councils,Anyone affected by cancer,"Information, support groups, transport assistance, accommodation, financial counseling",Mon-Fri 9:00am-5:00pm,02 9354 2000,https://www.cancercouncil.com.au/
Cancer Council NSW - Helpline,Cancer Council NSW,Charity,Helpline,Statewide service,Sydney,NSW,2000,All Sydney councils,Anyone affected by cancer,"Information, navigation, emotional support, practical assistance referrals",Mon-Fri 9:00am-5:00pm,13 11 20,https://www.cancercouncil.com.au/
CanTeen - Randwick,CanTeen,Charity,Youth Service,Prince of Wales Hospital,Randwick,NSW,2031,All Sydney councils,Young people 12-25 affected by cancer,"Peer support, counseling, camps, recreation programs",Mon-Fri 9:00am-5:00pm,0400 474 691,https://www.canteen.org.au/
CanTeen - Westmead,CanTeen,Charity,Youth Service,Westmead Hospital,Westmead,NSW,2145,All Sydney councils,Young people 12-25 affected by cancer,"Peer support, counseling, camps, recreation programs",Mon-Fri 9:00am-5:00pm,02 9845 2142,https://www.canteen.org.au/
CanTeen - Camperdown,CanTeen,Charity,Youth Service,Chris O'Brien Lifehouse,Camperdown,NSW,2050,All Sydney councils,Young people 12-25 affected by cancer,"Peer support, counseling, camps, recreation programs",Mon-Fri 9:00am-5:00pm,0467 730 463,https://www.canteen.org.au/
CanTeen National Support Line,CanTeen,Charity,Helpline,National service,Sydney,NSW,2000,All councils,Young people 12-25 affected by cancer,"Phone counseling, crisis support, information",Daily 8:00am-8:00pm,1800 945 215,https://www.canteen.org.au/
Leukaemia Foundation,Leukaemia Foundation,Charity,Support Service,Suite 2/16-18 Atchison Street,Artarmon,NSW,2064,All Sydney councils,Blood cancer patients and families,"Accommodation, transport, education, emotional support",Mon-Fri 9:00am-5:00pm,02 9902 2222,https://www.leukaemia.org.au/
Lung Foundation Australia,Lung Foundation Australia,Charity,Support Service,Level 1/54 Miller Street,North Sydney,NSW,2060,All Sydney councils,Lung cancer patients and families,"Specialist nurses, social workers, information, support groups",Mon-Fri 9:00am-5:00pm,1800 654 301,https://lungfoundation.com.au/
Dragons Abreast Sydney,Dragons Abreast,Charity,Sports Program,Black Wattle Bay,Pyrmont,NSW,2009,All Sydney councils,Breast cancer survivors,"Dragon boating, exercise program, peer support",Sat mornings,Contact via website,https://www.dragonsabreast.com.au/
CanRevive Inc.,CanRevive,Charity,Multicultural Service,Level 1/82-84 Dixon Street,Haymarket,NSW,2000,All Sydney councils,Chinese-speaking cancer patients,"Mandarin/Cantonese support groups, home visits, complementary therapies, tai chi, calligraphy",Mon-Fri 10:00am-4:00pm,02 9212 7789,https://www.canrevive.com/
CanRevive Hurstville Branch,CanRevive,Charity,Multicultural Service,Hurstville location,Hurstville,NSW,2220,"Georges River, Bayside",Chinese-speaking cancer patients,"Mandarin/Cantonese support groups, complementary therapies",Contact for times,02 9212 7789,https://www.canrevive.com/
Sanadi Foundation,Arab Council Australia,Charity,Multicultural Service,Various locations,Sydney,NSW,2000,All Sydney councils,Arabic-speaking cancer patients,"Peer support volunteers, cultural navigation, translation support",Mon-Fri 9:00am-5:00pm,Contact via Arab Council,https://arabcouncil.org.au/
Pink Sari Inc.,Pink Sari,Charity,Multicultural Service,Western/South Western Sydney,Liverpool,NSW,2170,"Liverpool, Fairfield, Canterbury-Bankstown, Campbelltown",South Asian cancer patients,"Culturally appropriate support, peer groups, advocacy",Contact for times,Contact via website,https://pinksari.org.au/
Greek Welfare Centre,Greek Welfare Centre,Charity,Multicultural Service,7 West Street,Marrickville,NSW,2204,Inner West,Greek-speaking cancer patients,"Language-specific support, cultural advocacy, social support",Mon-Fri 9:00am-5:00pm,02 9516 2188,https://www.greekwelfare.org.au/
Co.As.It.,Co.As.It.,Charity,Multicultural Service,67 Norton Street,Leichhardt,NSW,2040,Inner West,Italian-speaking cancer patients,"Language-specific support, cultural advocacy, social support",Mon-Fri 9:00am-5:00pm,02 9564 0744,https://www.coasit.org.au/
Sisters Cancer Support Group,Sisters Cancer Support,Charity,Support Group,Various locations,Sydney,NSW,2000,All Sydney councils,Multicultural women with cancer,"Monthly morning tea gatherings, peer support, culturally sensitive environment",Monthly meetings,Contact for details,Contact via multicultural health services
YWCA Encore,YWCA NSW,Charity,Exercise Program,5-11 Wentworth Avenue,Sydney,NSW,2000,All Sydney councils,Breast cancer survivors,"8-week program: land exercises, hydrotherapy, peer support",Various sessions,0449 904 011,https://www.ywcansw.com.au/
UNSW Lifestyle Clinic,University of NSW,University,University Clinic,38 Botany Street,Randwick,NSW,2052,"Randwick, Sydney",Cancer patients and survivors,"Exercise physiology, cancer rehabilitation, chronic disease management",Mon/Wed 8am-6pm; Tue/Thu/Fri 8am-4:30pm,02 9385 3352,https://www.unsw.edu.au/
Macquarie University ENRICH Program,Macquarie University,University,University Clinic,Macquarie University Campus,North Ryde,NSW,2109,Ryde,Cancer survivors,"Free 8-week program: exercise physiology, dietetics, yoga",Contact for schedule,02 9850 2111,https://www.mqhealth.org.au/
Concord Cancer Centre Survivorship Gym,Sydney Local Health District,Hospital,Exercise Program,Hospital Road,Concord,NSW,2139,"Canada Bay, Burwood, Strathfield",Chemotherapy patients,"Exercise during treatment, heart function maintenance, side effect management",Mon-Fri during business hours,02 9767 5000,https://www.slhd.nsw.gov.au/
Restore Oncology Care,Private,Private,Rehabilitation Centre,St George/Sutherland area,Sutherland,NSW,2232,"Sutherland Shire, Georges River",Cancer patients,"Lymphoedema therapy, oncology massage, counseling",Mon-Fri by appointment,Contact for details,https://restore.physio/
Guardian Exercise Rehabilitation,Private,Private,Exercise Clinic,Various locations,Sydney,NSW,2000,All Sydney councils,Cancer patients with lymphoedema,"Early intervention, chronic management, exercise programs",Mon-Fri by appointment,Contact for details,Contact for website
Maple Tree Exercise Program,Western Sydney Local Health District,Hospital,Exercise Program,Westmead Hospital,Westmead,NSW,2145,"Parramatta, The Hills, Blacktown",Cancer patients,"Home-based, gym-based, and hydrotherapy options",Mon-Fri during business hours,02 9145 1290,https://www.wslhd.health.nsw.gov.au/
Next Practice WSIH,Western Sydney Local Health District,Hospital,Integrative Medicine Centre,Westmead Hospital,Westmead,NSW,2145,"Parramatta, The Hills, Blacktown",Cancer patients,"Yoga therapy, oncology massage, acupuncture, tai chi",Mon-Fri by appointment,02 9145 1290,https://www.wslhd.health.nsw.gov.au/
Cancer Council Transport to Treatment,Cancer Council NSW,Charity,Transport Service,Statewide,Sydney,NSW,2000,All Sydney councils,Cancer patients needing transport,"Volunteer drivers, financial assistance for transport",Mon-Fri 9:00am-5:00pm,13 11 20,https://www.cancercouncil.com.au/
Country Care Link,NSW Health,Government,Transport Service,Statewide,Sydney,NSW,2000,All councils,Rural patients attending Sydney appointments,Free transport for medical appointments,Mon-Fri 8:00am-5:00pm,1800 806 160,https://www.health.nsw.gov.au/
Prince of Wales Oncology Bus,South Eastern Sydney Local Health District,Hospital,Transport Service,Eastern suburbs routes,Randwick,NSW,2031,"Randwick, Waverley, Woollahra",Cancer patients in eastern suburbs,Free transport to Prince of Wales Hospital,Mon-Fri scheduled times,02 9382 5111,https://www.seslhd.health.nsw.gov.au/
Community Wheels Parramatta,Community Transport,NGO,Transport Service,Parramatta region,Parramatta,NSW,2150,"Parramatta, The Hills, Cumberland",Cancer patients in western Sydney,"Transport to Crown Princess Mary Cancer Centre, medical appointments",Mon-Fri by booking,02 9687 1611,https://ctparramatta.org.au/
National Cancer Foundation Accommodation,National Cancer Foundation,Charity,Accommodation Service,Northmead/Westmead,Westmead,NSW,2145,Regional NSW patients,Regional cancer patients receiving treatment in Sydney,Residential accommodation during treatment,24/7 access once booked,0493 967 659,https://www.nationalcancerfoundation.org.au/
Chisholm Cottage,Westmead Hospital,Hospital,Accommodation Service,Westmead Hospital grounds,Westmead,NSW,2145,Regional NSW patients,Regional cancer patients and families,"Affordable shared accommodation, kitchen facilities",24/7 access once booked,02 9633 4228,https://www.wslhd.health.nsw.gov.au/
IPTAAS,NSW Government,Government,Financial Support,Statewide service,Sydney,NSW,2000,All NSW residents 100km+ from specialists,Patients traveling 100km+ for specialist treatment,"Travel subsidy 22c/km, accommodation assistance",Mon-Fri 8:30am-4:30pm,1800 478 227,https://www.iptaas.health.nsw.gov.au/
Kids with Cancer Foundation Wigs4Kids,Kids with Cancer Foundation,Charity,Wig Service,P.O. Box 7092,Berrima,NSW,2577,All Sydney councils,Children with cancer,"Bespoke wigs for children, free of charge",By appointment,02 4862 3331,https://kidswithcancer.org.au/
McGrath Breast Care Nurses - Concord,McGrath Foundation,Charity,Nursing Service,Concord Hospital,Concord,NSW,2139,"Canada Bay, Burwood, Strathfield",Breast cancer patients (all cancer types supported),Free breast care nursing support,Mon-Fri 8:30am-5:00pm,02 9767 5000,https://www.mcgrathfoundation.com.au/
McGrath Breast Care Nurses - St George,McGrath Foundation,Charity,Nursing Service,St George Hospital,Kogarah,NSW,2217,"Georges River, Bayside",Breast cancer patients (all cancer types supported),Free breast care nursing support,Mon-Fri 8:30am-5:00pm,02 9113 1111,https://www.mcgrathfoundation.com.au/
McGrath Breast Care Nurses - Blacktown,McGrath Foundation,Charity,Nursing Service,Blacktown Hospital,Blacktown,NSW,2148,Blacktown,Breast cancer patients (all cancer types supported),Free breast care nursing support,Mon-Fri 8:00am-5:00pm,02 9881 8000,https://www.mcgrathfoundation.com.au/
McGrath Breast Care Nurses - Gosford,McGrath Foundation,Charity,Nursing Service,Gosford Hospital,Gosford,NSW,2250,Central Coast,Breast cancer patients (all cancer types supported),Free breast care nursing support,Mon-Fri 8:00am-5:00pm,02 4320 2111,https://www.mcgrathfoundation.com.au/
McGrath Breast Care Nurses - Fairfield,McGrath Foundation,Charity,Nursing Service,Fairfield Hospital,Prairiewood,NSW,2176,Fairfield,Breast cancer patients (all cancer types supported),Free breast care nursing support,Mon-Fri 8:30am-5:00pm,02 9616 8111,https://www.mcgrathfoundation.com.au/
Caringbah Community Health Centre,South Eastern Sydney Local Health District,Community Health,Community Health Centre,Corner Kingsway & Willarong Road,Caringbah,NSW,2229,Sutherland Shire,Local residents,"Palliative care, chronic disease management, allied health",Mon-Fri 8:30am-5:00pm,02 9522 1000,https://www.seslhd.health.nsw.gov.au/
Engadine Community Health Centre,South Eastern Sydney Local Health District,Community Health,Community Health Centre,1021A Old Princes Highway,Engadine,NSW,2233,Sutherland Shire,Local residents,"Palliative care, chronic disease management, allied health",Mon-Fri 8:30am-5:00pm,02 9548 4300,https://www.seslhd.health.nsw.gov.au/
Parramatta Community Health Centre,Western Sydney Local Health District,Community Health,Community Health Centre,Jeffery House/162 Marsden Street,Parramatta,NSW,2150,Parramatta,Local residents,"Chronic disease management, allied health, co-located Medicare Mental Health Centre",Mon-Fri 8:30am-5:00pm,02 9843 3222,https://www.wslhd.health.nsw.gov.au/
Medicare Mental Health Centre - Parramatta,Federal Government,Government,Mental Health Centre,Co-located with Parramatta Community Health,Parramatta,NSW,2150,All Sydney councils,Anyone needing mental health support,"Free mental health support, no referral required",Mon-Fri 8:30am-5:00pm,1800 595 212,https://www.health.gov.au/
Blacktown Community Health Centre,Western Sydney Local Health District,Community Health,Community Health Centre,Marcel Crescent,Blacktown,NSW,2148,Blacktown,Local residents,"Chronic disease management, allied health services",Mon-Fri 8:30am-5:00pm,02 9881 8700,https://www.wslhd.health.nsw.gov.au/
Mount Druitt Community Health Centre,Western Sydney Local Health District,Community Health,Community Health Centre,Buran Close,Mount Druitt,NSW,2770,Blacktown,Local residents,"Chronic disease management, allied health services",Mon-Fri 8:30am-5:00pm,02 9881 1200,https://www.wslhd.health.nsw.gov.au/
Auburn Community Health Centre,Western Sydney Local Health District,Community Health,Community Health Centre,9-11 Northumberland Road,Auburn,NSW,2144,Cumberland,Local residents,"Chronic disease management, allied health services",Mon-Fri 8:30am-5:00pm,02 8759 4000,https://www.wslhd.health.nsw.gov.au/
South Western Sydney Central Intake,South Western Sydney Local Health District,Community Health,Central Intake Service,Regional service,Liverpool,NSW,2170,"Liverpool, Fairfield, Canterbury-Bankstown, Campbelltown, Camden, Wollondilly",Local residents,Streamlined access to all community health services,Mon-Fri 8:30am-5:00pm,1800 999 880,https://www.swslhd.health.nsw.gov.au/
Aboriginal Cancer Care Coordinator - Concord,Sydney Local Health District,Hospital,Cultural Support Service,Concord Hospital,Concord,NSW,2139,All Sydney councils,Aboriginal and Torres Strait Islander cancer patients,"Culturally appropriate navigation, support, advocacy",Mon-Fri 8:30am-5:00pm,02 9767 5000,https://www.slhd.nsw.gov.au/
Aboriginal Cancer Care Coordinator - RPA,Sydney Local Health District,Hospital,Cultural Support Service,Royal Prince Alfred Hospital,Camperdown,NSW,2050,All Sydney councils,Aboriginal and Torres Strait Islander cancer patients,"Culturally appropriate navigation, support, advocacy",Mon-Fri 8:30am-5:00pm,02 9515 6111,https://www.slhd.nsw.gov.au/
Aboriginal Cancer Care Coordinator - Lifehouse,Chris O'Brien Lifehouse,Hospital,Cultural Support Service,Chris O'Brien Lifehouse,Camperdown,NSW,2050,All Sydney councils,Aboriginal and Torres Strait Islander cancer patients,"Culturally appropriate navigation, support, advocacy",Mon-Fri 8:00am-5:00pm,02 8514 0500,https://www.mylifehouse.org.au/
Aboriginal Cancer Care Coordinator - Balmain,Sydney Local Health District,Hospital,Cultural Support Service,Balmain Hospital,Balmain,NSW,2041,Inner West,Aboriginal and Torres Strait Islander cancer patients,"Culturally appropriate navigation, support, advocacy",Mon-Fri 8:30am-5:00pm,02 9395 2111,https://www.slhd.nsw.gov.au/
Aboriginal Cancer Care Coordinator - Canterbury,Sydney Local Health District,Hospital,Cultural Support Service,Canterbury Hospital,Campsie,NSW,2194,Canterbury-Bankstown,Aboriginal and Torres Strait Islander cancer patients,"Culturally appropriate navigation, support, advocacy",Mon-Fri 8:30am-5:00pm,02 9787 0000,https://www.slhd.nsw.gov.au/
Look Good Feel Better Sydney,Look Good Feel Better,Charity,Wellness Program,Various hospital locations,Sydney,NSW,2000,All Sydney councils,Cancer patients experiencing appearance changes,"Free makeup workshops, skincare advice, confidence building",Monthly workshops,1800 650 960,https://lgfb.org.au/
Breast Cancer Network Australia,BCNA,Charity,Support Network,National organization,Sydney,NSW,2000,All Sydney councils,Breast cancer patients,Online resources and local support group connections,24/7 online resources,1800 500 258,https://www.bcna.org.au/
Prostate Cancer Foundation of Australia,PCFA,Charity,Support Network,National organization,Sydney,NSW,2000,All Sydney councils,Prostate cancer patients,"Support groups, information, nurse support line",Mon-Fri 9:00am-5:00pm,1800 220 099,https://www.pcfa.org.au/
Ovarian Cancer Australia,Ovarian Cancer Australia,Charity,Support Network,National organization,Sydney,NSW,2000,All Sydney councils,Ovarian cancer patients,"Support groups, information, resilience kits",Mon-Fri 9:00am-5:00pm,1300 660 334,https://www.ovariancancer.net.au/
Pancare Foundation,Pancare Foundation,Charity,Support Network,National organization,Sydney,NSW,2000,All Sydney councils,Pancreatic and upper GI cancer patients,"Support services, nurse support line, patient resources",Mon-Fri 9:00am-5:00pm,1300 881 698,https://www.pancare.org.au/
Melanoma Institute Australia,Melanoma Institute,Hospital,Specialist Centre,The Poche Centre/40 Rocklands Road,North Sydney,NSW,2060,All Sydney councils,Melanoma patients,"Clinical trials, research, patient care, support services",Mon-Fri 8:00am-5:00pm,02 9911 7200,https://www.melanoma.org.au/
GenesisCare North Shore,GenesisCare,Private,Cancer Centre,Royal North Shore Hospital campus,St Leonards,NSW,2065,"North Sydney, Willoughby, Lane Cove",Cancer patients with referral,"Radiation therapy, chemotherapy, immunotherapy",Mon-Fri 8:00am-5:00pm,02 8425 3888,https://www.genesiscare.com/au/
Sydney Brain Tumour Clinic,Northern Sydney Local Health District,Hospital,Specialist Clinic,Royal North Shore Hospital,St Leonards,NSW,2065,All Sydney councils,Brain tumour patients,Specialized neuro-oncology services,By appointment,02 9926 7111,https://www.nslhd.health.nsw.gov.au/
EX-MED Cancer Sydney,EX-MED Cancer,Charity,Exercise Program,Various fitness center locations,Sydney,NSW,2000,All Sydney councils,Cancer patients and survivors,"Evidence-based exercise medicine programs, community fitness center locations",Various times,1300 113 200,https://www.exmedcancer.org.au/
Cancer Voices NSW,Cancer Voices,Charity,Advocacy Organization,PO Box 5016,Greenwich,NSW,2065,All Sydney councils,Cancer patients and advocates,"Patient advocacy, systemic change, consumer representation",Mon-Fri 9:00am-5:00pm,0419 248 260,https://www.cancervoices.org.au/
Can Assist,Can Assist,Charity,Financial Support,Regional branches,Sydney,NSW,2000,Regional NSW residents,Regional cancer patients,Financial assistance for cancer-related expenses,Mon-Fri 9:00am-5:00pm,1300 226 277,https://www.canassist.com.au/
Bloomhill Cancer Care,Bloomhill,Charity,Support Service,Central Coast,Gosford,NSW,2250,Central Coast,Central Coast cancer patients,"Nursing support, allied health, complementary therapies, transport",Mon-Fri 8:30am-4:30pm,02 4324 9700,https://www.bloomhill.com.au/
